"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"727","RT @MichaelAusiello: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/blWMqR1IvV https://t.co/v…",FALSE,0,NA,2016-12-10 21:03:22,FALSE,NA,"807692203715887104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unicorn_tvd",42,TRUE,FALSE,NA,NA
"728","I Just watch #HairsprayLive with my mom we love it @ArianaGrande we are so proud of All of you ....",FALSE,1,NA,2016-12-10 21:03:17,FALSE,NA,"807692185239953408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eternalflame_77",0,FALSE,FALSE,NA,NA
"729","Just discovered the @RealReddiWip man from @HairsprayLive. Woah. @strand_evan, marry me? #HairsprayLive",FALSE,1,NA,2016-12-10 21:03:02,FALSE,NA,"807692119884394497",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","AustinArias",0,FALSE,FALSE,NA,NA
"730","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia …",FALSE,0,NA,2016-12-10 21:03:00,FALSE,NA,"807692111764131840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kellyo89100",117,TRUE,FALSE,NA,NA
"731","RT @MichaelAusiello: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/blWMqR1IvV https://t.co/v…",FALSE,0,NA,2016-12-10 21:02:52,FALSE,NA,"807692077517578240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DannieAsphall",42,TRUE,FALSE,NA,NA
"732","RT @MichaelAusiello: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/blWMqR1IvV https://t.co/v…",FALSE,0,NA,2016-12-10 21:02:34,FALSE,NA,"807692003635040256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dove_Fan_Page",42,TRUE,FALSE,NA,NA
"733","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia …",FALSE,0,NA,2016-12-10 21:02:27,FALSE,NA,"807691976023875585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dove_Fan_Page",117,TRUE,FALSE,NA,NA
"734","RT @DoveCameron: gossip girl &amp; thai food to mend my broken heart after #hairspraylive ended",FALSE,0,NA,2016-12-10 21:02:23,FALSE,NA,"807691956679770112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","potatosanatomy",457,TRUE,FALSE,NA,NA
"735","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia …",FALSE,0,NA,2016-12-10 21:02:20,FALSE,NA,"807691946932240385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hanifenurkilic",117,TRUE,FALSE,NA,NA
"736","""I'm not throwing away my shot."" Okay. That phrase existed way before #Hamilton but I still broke out into the song. #HairsprayLive",FALSE,1,NA,2016-12-10 21:02:10,FALSE,NA,"807691902086684672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","noelleharmony",0,FALSE,FALSE,NA,NA
